app/app-CatalogCheck	13	14
app/app-Demos	3	5
app/app-Duplicates	14	14
app/app-FunctxFn	495	502
app/app-FunctxFunctx	611	627
app/app-UseCaseCompoundValues	1	1
app/app-UseCaseJSON	2	13
app/app-UseCaseNLP	0	7
app/app-UseCaseNS	1	8
app/app-UseCasePARTS	1	1
app/app-UseCaseR	18	18
app/app-UseCaseR31	20	25
app/app-UseCaseSEQ	5	5
app/app-UseCaseSGML	11	11
app/app-UseCaseSTRING	4	4
app/app-UseCaseTREE	6	6
app/app-UseCaseXMP	11	12
app/app-Walmsley	194	218
app/app-XMark	19	21
app/app-spec-examples	611	641
array/array-append	8	8
array/array-filter	11	12
array/array-flatten	10	10
array/array-fold-left	9	9
array/array-fold-right	10	10
array/array-for-each	8	9
array/array-for-each-pair	9	9
array/array-get	9	10
array/array-head	7	9
array/array-insert-before	10	11
array/array-join	11	11
array/array-put	12	13
array/array-remove	15	16
array/array-reverse	4	4
array/array-size	7	7
array/array-sort	35	37
array/array-subarray	15	18
array/array-tail	5	6
fn/fn-QName	34	34
fn/fn-abs	187	188
fn/fn-adjust-date-to-timezone	41	41
fn/fn-adjust-dateTime-to-timezone	48	48
fn/fn-adjust-time-to-timezone	42	42
fn/fn-analyze-string	24	34
fn/fn-apply	17	17
fn/fn-available-environment-variables	11	11
fn/fn-avg	227	239
fn/fn-base-uri	81	82
fn/fn-boolean	143	143
fn/fn-ceiling	94	94
fn/fn-codepoint-equal	36	36
fn/fn-codepoints-to-string	72	79
fn/fn-collation-key	26	26
fn/fn-collection	10	21
fn/fn-compare	87	87
fn/fn-concat	95	96
fn/fn-contains	68	68
fn/fn-contains-token	43	45
fn/fn-count	316	316
fn/fn-current-date	26	26
fn/fn-current-dateTime	27	27
fn/fn-current-time	24	24
fn/fn-data	55	64
fn/fn-dateTime	52	52
fn/fn-day-from-date	27	27
fn/fn-day-from-dateTime	27	27
fn/fn-days-from-duration	31	31
fn/fn-deep-equal	248	253
fn/fn-default-collation	7	7
fn/fn-default-language	5	6
fn/fn-distinct-values	99	105
fn/fn-doc	36	45
fn/fn-doc-available	16	16
fn/fn-document-uri	53	53
fn/fn-element-with-id	0	5
fn/fn-empty	54	54
fn/fn-encode-for-uri	29	29
fn/fn-ends-with	52	52
fn/fn-environment-variable	12	12
fn/fn-error	92	97
fn/fn-escape-html-uri	34	34
fn/fn-exactly-one	54	54
fn/fn-exists	58	58
fn/fn-false	25	25
fn/fn-filter	31	35
fn/fn-floor	88	88
fn/fn-fold-left	25	26
fn/fn-fold-right	24	25
fn/fn-for-each	16	17
fn/fn-for-each-pair	48	49
fn/fn-format-date	84	130
fn/fn-format-dateTime	66	82
fn/fn-format-integer	74	74
fn/fn-format-number	232	267
fn/fn-format-time	84	91
fn/fn-function-arity	20	23
fn/fn-function-lookup	658	667
fn/fn-function-name	24	26
fn/fn-generate-id	24	27
fn/fn-has-children	33	37
fn/fn-head	8	8
fn/fn-hours-from-dateTime	27	27
fn/fn-hours-from-duration	31	31
fn/fn-hours-from-time	27	27
fn/fn-id	42	61
fn/fn-idref	30	54
fn/fn-implicit-timezone	27	27
fn/fn-in-scope-prefixes	45	62
fn/fn-index-of	53	53
fn/fn-innermost	51	59
fn/fn-insert-before	43	43
fn/fn-iri-to-uri	46	47
fn/fn-json-doc	62	68
fn/fn-json-to-xml	44	94
fn/fn-lang	46	46
fn/fn-last	69	69
fn/fn-load-xquery-module	4	83
fn/fn-local-name	59	60
fn/fn-local-name-from-QName	24	27
fn/fn-lower-case	27	28
fn/fn-matches	164	166
fn/fn-matches.re	1006	1009
fn/fn-max	205	208
fn/fn-min	204	207
fn/fn-minutes-from-dateTime	27	27
fn/fn-minutes-from-duration	32	32
fn/fn-minutes-from-time	27	27
fn/fn-month-from-date	27	27
fn/fn-month-from-dateTime	27	27
fn/fn-months-from-duration	31	31
fn/fn-name	33	34
fn/fn-namespace-uri	26	33
fn/fn-namespace-uri-for-prefix	28	29
fn/fn-namespace-uri-from-QName	27	28
fn/fn-nilled	42	63
fn/fn-node-name	42	43
fn/fn-normalize-space	36	39
fn/fn-normalize-unicode	40	46
fn/fn-not	83	83
fn/fn-number	66	66
fn/fn-one-or-more	56	56
fn/fn-outermost	51	59
fn/fn-parse-ietf-date	98	105
fn/fn-parse-json	149	154
fn/fn-parse-xml	11	17
fn/fn-parse-xml-fragment	21	25
fn/fn-path	17	20
fn/fn-position	67	67
fn/fn-prefix-from-QName	27	27
fn/fn-random-number-generator	42	44
fn/fn-remove	51	51
fn/fn-replace	91	91
fn/fn-resolve-QName	31	31
fn/fn-resolve-uri	39	39
fn/fn-reverse	70	70
fn/fn-root	34	38
fn/fn-round	262	262
fn/fn-round-half-to-even	128	128
fn/fn-seconds-from-dateTime	27	27
fn/fn-seconds-from-duration	32	32
fn/fn-seconds-from-time	27	27
fn/fn-serialize	155	168
fn/fn-sort	47	47
fn/fn-starts-with	60	60
fn/fn-static-base-uri	17	18
fn/fn-string	69	71
fn/fn-string-join	44	44
fn/fn-string-length	34	36
fn/fn-string-to-codepoints	44	44
fn/fn-subsequence	102	107
fn/fn-substring	48	48
fn/fn-substring-after	49	50
fn/fn-substring-before	49	50
fn/fn-sum	222	222
fn/fn-tail	6	6
fn/fn-timezone-from-date	34	34
fn/fn-timezone-from-dateTime	27	27
fn/fn-timezone-from-time	27	27
fn/fn-tokenize	65	66
fn/fn-trace	29	29
fn/fn-transform	0	2
fn/fn-translate	44	44
fn/fn-true	25	25
fn/fn-unordered	20	43
fn/fn-unparsed-text	41	55
fn/fn-unparsed-text-available	44	54
fn/fn-unparsed-text-lines	41	55
fn/fn-upper-case	28	29
fn/fn-uri-collection	7	7
fn/fn-xml-to-json	130	144
fn/fn-year-from-date	27	27
fn/fn-year-from-dateTime	27	27
fn/fn-years-from-duration	31	31
fn/fn-zero-or-one	51	51
map/map-call	26	26
map/map-contains	26	26
map/map-entry	9	9
map/map-find	12	12
map/map-for-each	16	17
map/map-get	32	32
map/map-keys	13	14
map/map-merge	32	32
map/map-put	19	19
map/map-remove	18	18
map/map-size	15	15
math/math-acos	9	9
math/math-asin	9	9
math/math-atan	9	9
math/math-atan2	10	10
math/math-cos	9	9
math/math-exp	9	9
math/math-exp10	8	8
math/math-log	9	9
math/math-log10	9	9
math/math-pi	5	5
math/math-pow	34	34
math/math-sin	9	9
math/math-sqrt	9	9
math/math-tan	11	11
misc/misc-AnnexE	8	8
misc/misc-AppendixA4	9	9
misc/misc-CombinedErrorCodes	195	244
misc/misc-ErrorsAndOptimization	7	7
misc/misc-HigherOrderFunctions	124	127
misc/misc-JsonTestSuite	306	318
misc/misc-StaticContext	1	1
misc/misc-Surrogates	32	32
misc/misc-UCACollation	73	73
misc/misc-XMLEdition	10	19
op/op-NOTATION-equal	12	22
op/op-QName-equal	38	38
op/op-add-dayTimeDuration-to-date	25	27
op/op-add-dayTimeDuration-to-dateTime	27	27
op/op-add-dayTimeDuration-to-time	26	26
op/op-add-dayTimeDurations	61	61
op/op-add-yearMonthDuration-to-date	27	27
op/op-add-yearMonthDuration-to-dateTime	28	29
op/op-add-yearMonthDurations	27	27
op/op-anyURI-equal	22	22
op/op-anyURI-greater-than	10	10
op/op-anyURI-less-than	8	8
op/op-bang	14	14
op/op-base64Binary-equal	30	30
op/op-base64Binary-greater-than	32	32
op/op-base64Binary-less-than	32	32
op/op-boolean-equal	57	57
op/op-boolean-greater-than	49	49
op/op-boolean-less-than	49	49
op/op-concat	91	92
op/op-concatenate	54	54
op/op-date-equal	47	47
op/op-date-greater-than	48	48
op/op-date-less-than	48	48
op/op-dateTime-equal	71	73
op/op-dateTime-greater-than	44	44
op/op-dateTime-less-than	44	44
op/op-dayTimeDuration-greater-than	58	58
op/op-dayTimeDuration-less-than	46	46
op/op-divide-dayTimeDuration	54	55
op/op-divide-dayTimeDuration-by-dayTimeDuration	22	25
op/op-divide-yearMonthDuration	30	31
op/op-divide-yearMonthDuration-by-yearMonthDuration	23	23
op/op-duration-equal	158	158
op/op-except	72	72
op/op-gDay-equal	51	51
op/op-gMonth-equal	45	45
op/op-gMonthDay-equal	51	51
op/op-gYear-equal	46	46
op/op-gYearMonth-equal	46	46
op/op-hexBinary-equal	35	35
op/op-hexBinary-greater-than	32	32
op/op-hexBinary-less-than	32	32
op/op-intersect	73	75
op/op-is-same-node	38	38
op/op-multiply-dayTimeDuration	47	47
op/op-multiply-yearMonthDuration	44	44
op/op-node-after	35	35
op/op-node-before	36	36
op/op-numeric-add	141	155
op/op-numeric-divide	138	140
op/op-numeric-equal	202	202
op/op-numeric-greater-than	118	118
op/op-numeric-integer-divide	134	136
op/op-numeric-less-than	183	183
op/op-numeric-mod	122	124
op/op-numeric-multiply	108	109
op/op-numeric-subtract	117	119
op/op-numeric-unary-minus	66	66
op/op-numeric-unary-plus	55	55
op/op-same-key	26	26
op/op-string-equal	15	15
op/op-string-greater-than	9	9
op/op-string-less-than	10	10
op/op-subtract-dateTimes	30	30
op/op-subtract-dates	30	30
op/op-subtract-dayTimeDuration-from-date	23	23
op/op-subtract-dayTimeDuration-from-dateTime	22	22
op/op-subtract-dayTimeDuration-from-time	27	27
op/op-subtract-dayTimeDurations	68	69
op/op-subtract-times	33	33
op/op-subtract-yearMonthDuration-from-date	25	25
op/op-subtract-yearMonthDuration-from-dateTime	23	23
op/op-subtract-yearMonthDurations	32	33
op/op-time-equal	58	58
op/op-time-greater-than	44	44
op/op-time-less-than	44	44
op/op-to	168	168
op/op-union	79	82
op/op-yearMonthDuration-greater-than	34	34
op/op-yearMonthDuration-less-than	34	34
prod/prod-AllowingEmpty	19	19
